Company,Year,Rule Risk Score,Rule Risk Level,Passed Rules,Failed Rules,Skipped Rules,Critical Failures,High Failures,Medium Failures,Low Failures,ML Prediction,Decision Score,Anomaly Score,Violation Count,Violation Categories,Highest Severity,Rule-Based Explanation,ML Explanation,Overall Explanation,Audit Recommendation
AARTI DRUGS LTD,2017,0.0,Low,58,0,92,0,0,0,0,Normal,0.195976,-0.195976,0,,,No rule violations detected. All applicable audit rules passed.,ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.195976.  Anomaly Score: -0.195976.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 0.00% (Low).  The ML model detected no anomaly.,Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2018,6.91,Low,103,7,40,2,5,0,0,Normal,0.195975,-0.195975,7,"cross_statement, financial_analytics, integrity",Critical,"Rule-based analysis identified 7 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(4.27), 'Net Cash Flow': np.float64(0.15)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(82.31), 'Dividend Amount': np.float64(2.36), 'Reserves': np.float64(431.85)} 
High Severity (5 violation(s)):   - CF-004 (Financing activity plausibility): Validation triggered. Observed: {'Borrowings': np.float64(546.25), 'Dividend Amount': np.float64(2.36), 'Cash from Financing Activity': np.float64(3.92)}   - FA-024 (Adverse operating-cash-flow growth): Validation triggered. Observed: {'Operating_CF_Growth': np.float64(-0.6007)}   - FA-098 (Revenue growth with operating cash-flow decline): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.0405), 'Operating_CF_Growth': np.float64(-0.6007)}   - FA-106 (Operating cash flow below net profit): Validation triggered. Observed: {'Cash from Operating Activity': np.float64(69.77), 'Net profit': np.float64(82.31)}   - IS-011 (Revenue versus operating cash flow correlation): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.0405), 'Operating_CF_Growth': np.float64(-0.6007)} 
Rule-Based Risk Score: 6.91% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.195975.  Anomaly Score: -0.195975.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 6.91% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2019,5.12,Low,108,5,37,2,2,1,0,Normal,0.195337,-0.195337,5,"cross_statement, financial_analytics, integrity, trend",Critical,"Rule-based analysis identified 5 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(5.55), 'Net Cash Flow': np.float64(1.35)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(89.75), 'Dividend Amount': np.float64(2.36), 'Reserves': np.float64(519.86)} 
High Severity (2 violation(s)):   - FA-021 (Adverse borrowing growth): Validation triggered. Observed: {'Borrowing_Growth': np.float64(-0.0715)}   - FA-026 (Adverse inventory growth): Validation triggered. Observed: {'Inventory_Growth': np.float64(-0.1136)} 
Medium Severity (1 violation(s)):   - RAT-011 (Net profit margin trend): Validation triggered. Observed: {'Profit_Margin': np.float64(0.0575)} 
Rule-Based Risk Score: 5.12% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.195337.  Anomaly Score: -0.195337.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 5.12% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2020,3.68,Low,110,3,37,2,1,0,0,Normal,0.194545,-0.194545,3,"cross_statement, financial_analytics, integrity",Critical,"Rule-based analysis identified 3 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(7.64), 'Net Cash Flow': np.float64(2.13)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(141.4), 'Dividend Amount': np.float64(4.66), 'Reserves': np.float64(629.19)} 
High Severity (1 violation(s)):   - FA-021 (Adverse borrowing growth): Validation triggered. Observed: {'Borrowing_Growth': np.float64(-0.2338)} 
Rule-Based Risk Score: 3.68% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.194545.  Anomaly Score: -0.194545.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 3.68% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2021,6.91,Low,106,7,37,2,5,0,0,Normal,0.192789,-0.192789,7,"cross_statement, financial_analytics, integrity",Critical,"Rule-based analysis identified 7 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(9.78), 'Net Cash Flow': np.float64(2.04)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(280.41), 'Dividend Amount': np.float64(23.3), 'Reserves': np.float64(820.22)} 
High Severity (5 violation(s)):   - FA-021 (Adverse borrowing growth): Validation triggered. Observed: {'Borrowing_Growth': np.float64(-0.0975)}   - FA-024 (Adverse operating-cash-flow growth): Validation triggered. Observed: {'Operating_CF_Growth': np.float64(-0.382)}   - FA-098 (Revenue growth with operating cash-flow decline): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.1931), 'Operating_CF_Growth': np.float64(-0.382)}   - FA-106 (Operating cash flow below net profit): Validation triggered. Observed: {'Cash from Operating Activity': np.float64(154.95), 'Net profit': np.float64(280.41)}   - IS-011 (Revenue versus operating cash flow correlation): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.1931), 'Operating_CF_Growth': np.float64(-0.382)} 
Rule-Based Risk Score: 6.91% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.192789.  Anomaly Score: -0.192789.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 6.91% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2022,7.71,Low,105,8,37,2,6,0,0,Normal,0.194698,-0.194698,8,"cross_statement, financial_analytics, integrity",Critical,"Rule-based analysis identified 8 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(22.33), 'Net Cash Flow': np.float64(12.8)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(205.04), 'Dividend Amount': np.float64(9.26), 'Reserves': np.float64(943.76)} 
High Severity (6 violation(s)):   - FA-020 (Adverse profit growth): Validation triggered. Observed: {'Profit_Growth': np.float64(-0.2688)}   - FA-024 (Adverse operating-cash-flow growth): Validation triggered. Observed: {'Operating_CF_Growth': np.float64(-0.5456)}   - FA-097 (Revenue growth with profit decline): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.1549), 'Profit_Growth': np.float64(-0.2688)}   - FA-098 (Revenue growth with operating cash-flow decline): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.1549), 'Operating_CF_Growth': np.float64(-0.5456)}   - FA-106 (Operating cash flow below net profit): Validation triggered. Observed: {'Cash from Operating Activity': np.float64(70.41), 'Net profit': np.float64(205.04)}   - IS-011 (Revenue versus operating cash flow correlation): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.1549), 'Operating_CF_Growth': np.float64(-0.5456)} 
Rule-Based Risk Score: 7.71% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.194698.  Anomaly Score: -0.194698.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 7.71% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2023,8.92,Low,103,10,37,2,6,2,0,Normal,0.195993,-0.195993,10,"cross_statement, financial_analytics, integrity, trend",Critical,"Rule-based analysis identified 10 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(8.96), 'Net Cash Flow': np.float64(-14.11)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(166.31), 'Dividend Amount': np.float64(9.26), 'Reserves': np.float64(1099.83)} 
High Severity (6 violation(s)):   - FA-020 (Adverse profit growth): Validation triggered. Observed: {'Profit_Growth': np.float64(-0.1889)}   - FA-026 (Adverse inventory growth): Validation triggered. Observed: {'Inventory_Growth': np.float64(-0.0183)}   - FA-027 (Adverse cash growth): Validation triggered. Observed: {'Cash_Growth': np.float64(-0.5987)}   - FA-097 (Revenue growth with profit decline): Validation triggered. Observed: {'Revenue_Growth': np.float64(0.0914), 'Profit_Growth': np.float64(-0.1889)}   - FA-101 (Borrowing growth with cash decline): Validation triggered. Observed: {'Borrowing_Growth': np.float64(0.1218), 'Cash_Growth': np.float64(-0.5987)}   - FA-106 (Operating cash flow below net profit): Validation triggered. Observed: {'Cash from Operating Activity': np.float64(133.32), 'Net profit': np.float64(166.31)} 
Medium Severity (2 violation(s)):   - FA-107 (Cash decline amid positive operating cash flow): Validation triggered. Observed: {'Cash_Growth': np.float64(-0.5987), 'Cash from Operating Activity': np.float64(133.32)}   - RAT-011 (Net profit margin trend): Validation triggered. Observed: {'Profit_Margin': np.float64(0.0612)} 
Rule-Based Risk Score: 8.92% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.195993.  Anomaly Score: -0.195993.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 8.92% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2024,6.73,Low,106,7,37,2,4,1,0,Normal,0.194496,-0.194496,7,"cross_statement, financial_analytics, integrity, trend",Critical,"Rule-based analysis identified 7 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(9.43), 'Net Cash Flow': np.float64(-0.76)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(171.42), 'Dividend Amount': np.float64(9.19), 'Reserves': np.float64(1189.61)} 
High Severity (4 violation(s)):   - FA-019 (Adverse revenue growth): Validation triggered. Observed: {'Revenue_Growth': np.float64(-0.069)}   - FA-021 (Adverse borrowing growth): Validation triggered. Observed: {'Borrowing_Growth': np.float64(-0.0733)}   - FA-025 (Adverse receivable growth): Validation triggered. Observed: {'Receivable_Growth': np.float64(-0.1853)}   - FA-026 (Adverse inventory growth): Validation triggered. Observed: {'Inventory_Growth': np.float64(-0.0589)} 
Medium Severity (1 violation(s)):   - RAT-024 (Revenue growth rate): Validation triggered. Observed: {'Revenue_Growth': np.float64(-0.069)} 
Rule-Based Risk Score: 6.73% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.194496.  Anomaly Score: -0.194496.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 6.73% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2025,10.53,Low,101,12,37,2,8,2,0,Normal,0.194835,-0.194835,12,"cross_statement, financial_analytics, integrity, trend",Critical,"Rule-based analysis identified 12 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(7.56), 'Net Cash Flow': np.float64(-2.17)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(168.16), 'Dividend Amount': np.float64(9.13), 'Reserves': np.float64(1277.73)} 
High Severity (8 violation(s)):   - FA-019 (Adverse revenue growth): Validation triggered. Observed: {'Revenue_Growth': np.float64(-0.056)}   - FA-020 (Adverse profit growth): Validation triggered. Observed: {'Profit_Growth': np.float64(-0.019)}   - FA-024 (Adverse operating-cash-flow growth): Validation triggered. Observed: {'Operating_CF_Growth': np.float64(-0.3186)}   - FA-026 (Adverse inventory growth): Validation triggered. Observed: {'Inventory_Growth': np.float64(-0.0267)}   - FA-027 (Adverse cash growth): Validation triggered. Observed: {'Cash_Growth': np.float64(-0.1983)}   - FA-099 (Receivables growth exceeding revenue growth): Validation triggered. Observed: {'Receivable_Growth': np.float64(0.0662), 'Revenue_Growth': np.float64(-0.056)}   - FA-101 (Borrowing growth with cash decline): Validation triggered. Observed: {'Borrowing_Growth': np.float64(0.09), 'Cash_Growth': np.float64(-0.1983)}   - FA-102 (Borrowing growth with flat revenue): Validation triggered. Observed: {'Borrowing_Growth': np.float64(0.09), 'Revenue_Growth': np.float64(-0.056)} 
Medium Severity (2 violation(s)):   - FA-107 (Cash decline amid positive operating cash flow): Validation triggered. Observed: {'Cash_Growth': np.float64(-0.1983), 'Cash from Operating Activity': np.float64(244.58)}   - RAT-024 (Revenue growth rate): Validation triggered. Observed: {'Revenue_Growth': np.float64(-0.056)} 
Rule-Based Risk Score: 10.53% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.194835.  Anomaly Score: -0.194835.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 10.53% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
AARTI DRUGS LTD,2026,4.32,Low,109,4,37,2,1,1,0,Normal,0.196298,-0.196298,4,"cross_statement, financial_analytics, integrity, trend",Critical,"Rule-based analysis identified 4 violation(s). 
Critical Severity (2 violation(s)):   - CF-002 (Cash flow to cash-balance tie-out): Validation triggered. Observed: {'Cash & Bank': np.float64(8.81), 'Net Cash Flow': np.float64(2.69)}   - IS-013 (Net income to reserve movement plausibility): Validation triggered. Observed: {'Net profit': np.float64(194.92), 'Dividend Amount': np.float64(18.25), 'Reserves': np.float64(1457.59)} 
High Severity (1 violation(s)):   - FA-021 (Adverse borrowing growth): Validation triggered. Observed: {'Borrowing_Growth': np.float64(-0.0625)} 
Medium Severity (1 violation(s)):   - RAT-012 (Operating margin trend): Validation triggered. Observed: {'Operating_Margin': np.float64(0.0819)} 
Rule-Based Risk Score: 4.32% (Risk Level: Low).",ML Evidence: The Isolation Forest model classified this observation as 'Normal'.  Decision Score: 0.196298.  Anomaly Score: -0.196298.  The observation aligns with learned historical financial patterns.,Overall Assessment:  Rule-based risk: 4.32% (Low).  The ML model detected no anomaly.,Validation triggered Low rule-based risk supports standard audit approach.
